Edge ID,Start Node,Start Name,Start Coordinates,End Node,End Name,End Coordinates,distance_km,system_ID,start_point_idx,end_point_idx
pt_54.5747_11.9311-pt_54.0833_12.1333,pt_54.5747_11.9311,"Gedser, Denmark","(11.9311, 54.5747)",pt_54.0833_12.1333,"Rostock, Germany","(12.1333, 54.0833)",56.25779752301364,2000.10,1,2
pt_59.4372_24.745-pt_60.1708_24.9375,pt_59.4372_24.745,"Talinn, Estonia","(24.745, 59.4372)",pt_60.1708_24.9375,"Helsinki, Finland","(24.9375, 60.1708)",82.44064027997226,2000.11,3,4
pt_54.5_11.2167-pt_54.6631_11.36,pt_54.5_11.2167,"Puttgarden, Germany","(11.2167, 54.5)",pt_54.6631_11.36,"Rõdbyhavn, Denmark","(11.36, 54.6631)",20.38322923465695,2000.12,5,6
pt_39.603509_-74.338118-pt_32.304027_-64.756309,pt_39.603509_-74.338118,"Tuckerton, United States","(-74.3381182, 39.6035094)",pt_32.304027_-64.756309,"Bermuda, Bermuda","(-64.7563086, 32.3040273)",1183.2325370825072,2000.13,7,8
pt_32.304027_-64.756309-pt_-3.730451_-38.525,pt_32.304027_-64.756309,"Bermuda, Bermuda","(-64.7563086, 32.3040273)",pt_-3.730451_-38.525,"Fortaleza, Brazil","(-38.525, -3.7304512)",4856.707511294158,2000.13,8,9
pt_-22.9111_-43.2056-pt_-3.7275_-38.5275,pt_-22.9111_-43.2056,"Rio de Janeiro, Brazil","(-43.2056, -22.9111)",pt_-3.7275_-38.5275,"Fortaleza, Brazil","(-38.5275, -3.7275)",2181.5547454323705,2000.13,10,11
pt_39.6032_-74.3402-pt_26.3686_-80.1,pt_39.6032_-74.3402,"Tuckerton, United States","(-74.3402, 39.6032)",pt_26.3686_-80.1,"Boca Raton , United States","(-80.1, 26.3686)",1562.4548952008772,2000.13,12,13
pt_26.3686_-80.1-pt_10.328435_-64.460483,pt_26.3686_-80.1,"Boca Raton , United States","(-80.1, 26.3686)",pt_10.328435_-64.460483,"Punta Gorda, Venezuela","(-64.4604832, 10.3284352)",2420.614753873313,2000.13,13,14
pt_10.328435_-64.460483-pt_-3.7275_-38.5275,pt_10.328435_-64.460483,"Punta Gorda, Venezuela","(-64.4604832, 10.3284352)",pt_-3.7275_-38.5275,"Fortaleza, Brazil","(-38.5275, -3.7275)",3268.025051268914,2000.13,14,11
pt_35.3792_-120.8533-pt_21.4706_-158.2142,pt_35.3792_-120.8533,"Morro Bay, United States","(-120.8533, 35.3792)",pt_21.4706_-158.2142,"Makaha, nan","(-158.2142, 21.4706)",3941.9219059850757,2000.14,16,17
pt_34.3282_136.8297-pt_21.4706_-158.2142,pt_34.3282_136.8297,"Shima, Japan","(136.8297, 34.3282)",pt_21.4706_-158.2142,"Makaha, nan","(-158.2142, 21.4706)",6445.905038684168,2000.14,18,17
pt_34.3282_136.8297-grid_34.9_140.4,pt_34.3282_136.8297,"Shima, Japan","(136.8297, 34.3282)",grid_34.9_140.4,grid_34.9_140.4,"(140.4, 34.9)",333.5161350341651,2000.14,18,19
grid_34.9_140.4-pt_36.8019_140.751,grid_34.9_140.4,grid_34.9_140.4,"(140.4, 34.9)",pt_36.8019_140.751,"Kitaibaraki, Japan","(140.751, 36.8019)",213.3958632429121,2000.14,19,20
pt_38.9089_-123.6931-grid_36.7_141.4,pt_38.9089_-123.6931,"Point Arena, United States","(-123.6931, 38.9089)",grid_36.7_141.4,grid_36.7_141.4,"(141.4, 36.7)",7937.463679378773,2000.14,21,22
