Node ID,Name,Longitude,Latitude,Hop_ID,system_ID,Country
pt_54.5747_11.9311,"Gedser, Denmark",11.9311,54.5747,1,2000.1,Denmark
pt_54.0833_12.1333,"Rostock, Germany",12.1333,54.0833,2,2000.1,Germany
pt_59.4372_24.745,"Tallinn, Estonia",24.745,59.4372,3,2000.11,Estonia
pt_60.1708_24.9375,"Helsinki, Finland",24.9375,60.1708,4,2000.11,Finland
pt_54.5_11.2167,"Puttgarden, Germany",11.2167,54.5,5,2000.12,Germany
pt_54.6631_11.36,"Rõdbyhavn, Denmark",11.36,54.6631,6,2000.12,Denmark
pt_39.603509_-74.338118,"Tuckerton, United States",-74.3381182,39.6035094,7,2000.13,United States
pt_32.304027_-64.756309,"Bermuda, Bermuda",-64.7563086,32.3040273,8,2000.13,Bermuda
pt_-3.730451_-38.525,"Fortaleza, Brazil",-38.525,-3.7304512,9,2000.13,Brazil
pt_-22.9111_-43.2056,"Rio de Janeiro, Brazil",-43.2056,-22.9111,10,2000.13,Brazil
pt_-3.7275_-38.5275,"Fortaleza, Brazil",-38.5275,-3.7275,11,2000.13,Brazil
pt_39.6032_-74.3402,"Tuckerton, United States",-74.3402,39.6032,12,2000.13,United States
pt_26.3686_-80.1,"Boca Raton, United States",-80.1,26.3686,13,2000.13,United States
pt_10.328435_-64.460483,"Punta Gorda, Venezuela",-64.4604832,10.3284352,14,2000.13,Venezuela
grid_-3.724337_-38.524337,grid_-3.724337_-38.524337,-38.52433668,-3.724336679,15,2000.13,grid_-3.724337_-38.524337
pt_35.3792_-120.8533,"Morro Bay, United States",-120.8533,35.3792,16,2000.14,United States
pt_21.4706_-158.2142,"Makaha, nan",-158.2142,21.4706,17,2000.14,Hawaii
pt_34.3282_136.8297,"Shima, Japan",136.8297,34.3282,18,2000.14,Japan
grid_34.9_140.4,grid_34.9_140.4,140.4,34.9,19,2000.14,grid_34.9_140.4
pt_36.8019_140.751,"Kitaibaraki, Japan",140.751,36.8019,20,2000.14,Japan
pt_38.9089_-123.6931,"Point Arena, United States",-123.6931,38.9089,21,2000.14,United States
grid_36.7_141.4,grid_36.7_141.4,141.4,36.7,22,2000.14,grid_36.7_141.4
pt_35.0218_139.962,"Maruyama, Japan",139.962,35.0218,23,2000.14,Japan
grid_34.85_140.3,grid_34.85_140.3,140.3,34.849999999999994,24,2000.14,grid_34.85_140.3
pt_40.779265_-72.915383,"Brookhaven, United States",-72.9153827,40.7792653,25,2000.15,United States
pt_26.011201_-80.14949,"Hollywood, United States",-80.1494901,26.0112014,26,2000.15,United States
pt_17.732_-64.748,"St Croix, US Virgin Islands , nan",-64.748,17.732,27,2000.15,United States Virgin Islands
pt_18.37_-64.955,"US Virgin Islands, United States Virgin Islands",-64.955,18.37,28,2000.15,United States Virgin Islands
pt_9.525_-75.5817,"Tolu, Colombia",-75.5817,9.525,29,2000.16,Colombia
grid_11.6_-77.4,grid_11.6_-77.4,-77.4,11.6,30,2000.16,grid_11.6_-77.4
grid_13.7_-78.6,grid_13.7_-78.6,-78.6,13.7,31,2000.16,grid_13.7_-78.6
grid_20.1_-80.6,grid_20.1_-80.6,-80.6,20.1,32,2000.16,grid_20.1_-80.6
pt_26.011201_-80.14949,"Hollywood, United States",-80.1494901,26.0112014,33,2000.16,United States
pt_21.1614_-86.8248,"Cancun, Mexico",-86.8248,21.1614,34,2000.16,Mexico
pt_10.0022_-83.084,"Puerto Limon, Costa Rica",-83.084,10.0022,35,2000.16,Costa Rica
pt_9.443_-79.7545,"Maria Chiquita, Panama",-79.7545,9.443,36,2000.16,Panama
pt_37.654_12.589,"Mazara, Italy",12.589,37.654,37,2000.17,Italy
pt_32.8854_13.1802,"Tripoli, Libya",13.1802,32.8854,38,2000.17,Libya
pt_35.1208_-120.6194,"Grover Beach, United States",-120.6194,35.1208,39,2000.18,United States
grid_30.9_-120.3,grid_30.9_-120.3,-120.3,30.9,40,2000.18,grid_30.9_-120.3
grid_19.5_-106.8,grid_19.5_-106.8,-106.8,19.5,41,2000.18,grid_19.5_-106.8
pt_9.0794_-79.9139,"Amador, Panama",-79.9139,9.0794,42,2000.18,Panama
