,Country1,Country2,Start_idx,End_idx,Flow
0,Albania,Bulgaria,12167,12199,196
1,Albania,Germany,12167,12247,22
2,Albania,Greece,12167,12250,447
3,Albania,Italy,12167,12272,337
4,Algeria,France,12168,12240,1596
5,Algeria,Italy,12168,12272,753
6,Algeria,Netherlands,12168,12319,55
7,Algeria,Spain,12168,12370,1560
8,Algeria,United Kingdom,12168,12403,88
9,Angola,Brazil,12171,12195,219
10,Angola,Nigeria,12171,12325,11
11,Angola,Portugal,12171,12343,65
12,Angola,South Africa,12171,12365,246
13,Angola,United Kingdom,12171,12403,237
14,Angola,United States,12171,12404,2
15,Argentina,Brazil,12175,12195,8837
16,Argentina,Chile,12175,12209,7645
17,Argentina,Panama,12175,12336,2
18,Argentina,United States,12175,12404,8520
19,Argentina,Uruguay,12175,12405,731
20,Australia,China,12178,12210,1077
21,Australia,Fiji,12178,12238,165
22,Australia,France,12178,12240,22
23,Australia,Germany,12178,12247,20
24,Australia,India,12178,12265,20
25,Australia,Indonesia,12178,12266,235
26,Australia,Japan,12178,12274,2132
27,Australia,Netherlands,12178,12319,11
28,Australia,New Zealand,12178,12322,5009
29,Australia,Papua New Guinea,12178,12337,71
30,Australia,Philippines,12178,12340,11
31,Australia,Samoa,12178,12352,65
32,Australia,Singapore,12178,12360,6730
33,Australia,Thailand,12178,12386,11
34,Australia,United States,12178,12404,16095
35,Australia,Vietnam,12178,12410,1
36,Bahamas,United States,12181,12404,191
37,Bahrain,France,12182,12240,115
38,Bahrain,Germany,12182,12247,65
39,Bahrain,India,12182,12265,11
40,Bahrain,Iraq,12182,12268,1
41,Bahrain,Jordan,12182,12276,0
42,Bahrain,Kuwait,12182,12281,171
43,Bahrain,Netherlands,12182,12319,60
44,Bahrain,Oman,12182,12332,60
45,Bahrain,Qatar,12182,12345,136
46,Bahrain,Saudi Arabia,12182,12355,829
47,Bahrain,Singapore,12182,12360,44
48,Bahrain,United Arab Emirates,12182,12402,660
49,Bahrain,United Kingdom,12182,12403,71
50,Bahrain,United States,12182,12404,173
51,Bangladesh,China,12183,12210,22
52,Bangladesh,France,12183,12240,447
53,Bangladesh,Germany,12183,12247,22
54,Bangladesh,India,12183,12265,974
55,Bangladesh,Italy,12183,12272,11
56,Bangladesh,Netherlands,12183,12319,11
57,Bangladesh,Singapore,12183,12360,2603
58,Bangladesh,United Kingdom,12183,12403,46
59,Bangladesh,United States,12183,12404,7
60,Barbados,Jamaica,12184,12273,87
61,Barbados,United States,12184,12404,87
62,Belgium,Finland,12186,12239,55400
63,Belgium,France,12186,12240,59597
64,Belgium,Germany,12186,12247,1893
65,Belgium,Ireland,12186,12269,20800
66,Belgium,Netherlands,12186,12319,12177
67,Belgium,United Kingdom,12186,12403,2468
68,Belgium,United States,12186,12404,40122
69,Belize,Guatemala,12187,12255,12
70,Belize,Mexico,12187,12305,19
71,Belize,United States,12187,12404,55
72,Benin,Ivory Coast,12188,12219,0
73,Benin,France,12188,12240,75
74,Benin,Gabon,12188,12244,11
75,Benin,Ghana,12188,12248,0
76,Benin,Nigeria,12188,12325,0
77,Benin,Spain,12188,12370,11
78,Benin,United Kingdom,12188,12403,82
79,Brazil,Angola,12195,12171,219
80,Brazil,Argentina,12195,12175,8837
81,Brazil,Chile,12195,12209,1004
82,Brazil,Colombia,12195,12213,272
83,Brazil,France,12195,12240,11
84,Brazil,Germany,12195,12247,111
85,Brazil,Netherlands,12195,12319,22
86,Brazil,Panama,12195,12336,200
87,Brazil,Peru,12195,12339,1745
88,Brazil,Portugal,12195,12343,242
89,Brazil,South Africa,12195,12365,101
90,Brazil,Spain,12195,12370,122
91,Brazil,United Kingdom,12195,12403,1
92,Brazil,United States,12195,12404,60652
93,Brazil,Uruguay,12195,12405,437
94,Brazil,Venezuela,12195,12409,2
95,Brunei,China,12198,12210,109
96,Brunei,Malaysia,12198,12296,22
97,Brunei,Singapore,12198,12360,86
98,Bulgaria,Albania,12199,12167,196
99,Bulgaria,Croatia,12199,12220,131
100,Bulgaria,Cyprus,12199,12223,11
101,Bulgaria,France,12199,12240,109
102,Bulgaria,Georgia,12199,12246,1658
103,Bulgaria,Germany,12199,12247,10731
104,Bulgaria,Greece,12199,12250,2505
105,Bulgaria,Iraq,12199,12268,791
106,Bulgaria,Italy,12199,12272,1209
107,Bulgaria,Jordan,12199,12276,131
108,Bulgaria,Netherlands,12199,12319,473
109,Bulgaria,Romania,12199,12347,4258
110,Bulgaria,Singapore,12199,12360,55
111,Bulgaria,Spain,12199,12370,218
112,Bulgaria,Turkey,12199,12395,10079
113,Bulgaria,Ukraine,12199,12401,305
114,Bulgaria,United Arab Emirates,12199,12402,22
115,Cambodia,China,12202,12210,1015
116,Cambodia,Germany,12202,12247,1
117,Cambodia,Malaysia,12202,12296,60
118,Cambodia,Netherlands,12202,12319,1
119,Cambodia,Singapore,12202,12360,602
120,Cambodia,Taiwan,12202,12383,1
121,Cambodia,Thailand,12202,12386,45
122,Cambodia,United Kingdom,12202,12403,1
123,Cambodia,United States,12202,12404,11
124,Cambodia,Vietnam,12202,12410,68
125,Cameroon,France,12203,12240,93
126,Cameroon,Netherlands,12203,12319,15
127,Cameroon,Nigeria,12203,12325,33
128,Cameroon,Portugal,12203,12343,43
129,Cameroon,United Kingdom,12203,12403,199
130,Canada,China,12204,12210,100
131,Canada,Comoros,12204,12214,0
132,Canada,Cuba,12204,12221,0
133,Canada,Equatorial Guinea,12204,12232,1
134,Canada,Indonesia,12204,12266,11
135,Canada,Ireland,12204,12269,6153
136,Canada,Netherlands,12204,12319,318
137,Canada,United Kingdom,12204,12403,558
138,Canada,United States,12204,12404,40941
139,Cape Verde,Portugal,12205,12343,22
140,Chile,Argentina,12209,12175,7645
141,Chile,Brazil,12209,12195,1004
142,Chile,Colombia,12209,12213,557
143,Chile,Panama,12209,12336,733
144,Chile,Peru,12209,12339,3344
145,Chile,United States,12209,12404,16774
146,China,Australia,12210,12178,1077
147,China,Bangladesh,12210,12183,22
148,China,Brunei,12210,12198,109
149,China,Cambodia,12210,12202,1015
150,China,Canada,12210,12204,100
151,China,Djibouti,12210,12226,3
152,China,France,12210,12240,2131
153,China,Germany,12210,12247,2487
154,China,Greece,12210,12250,11
155,China,India,12210,12265,546
156,China,Indonesia,12210,12266,1900
157,China,Israel,12210,12271,44
158,China,Italy,12210,12272,109
159,China,Japan,12210,12274,50272
160,China,Malaysia,12210,12296,2480
161,China,Maldives,12210,12297,11
162,China,Netherlands,12210,12319,253
163,China,New Zealand,12210,12322,22
164,China,Papua New Guinea,12210,12337,11
165,China,Philippines,12210,12340,3565
166,China,Russia,12210,12348,1214
167,China,Saudi Arabia,12210,12355,109
168,China,Singapore,12210,12360,63534
169,China,South Africa,12210,12365,45
170,China,South Korea,12210,12367,6906
171,China,Sri Lanka,12210,12371,33
172,China,Taiwan,12210,12383,17691
173,China,Thailand,12210,12386,3017
174,China,United Arab Emirates,12210,12402,55
175,China,United Kingdom,12210,12403,1711
176,China,United States,12210,12404,56335
177,China,Vietnam,12210,12410,15214
178,Colombia,Brazil,12213,12195,272
179,Colombia,Chile,12213,12209,557
180,Colombia,Costa Rica,12213,12218,44
181,Colombia,Cuba,12213,12221,2
182,Colombia,Ecuador,12213,12229,1862
183,Colombia,Panama,12213,12336,834
184,Colombia,Peru,12213,12339,654
185,Colombia,United States,12213,12404,11986
186,Colombia,Venezuela,12213,12409,291
187,Comoros,Canada,12214,12204,0
188,Comoros,Djibouti,12214,12226,1
189,Comoros,France,12214,12240,5
190,Comoros,Kenya,12214,12278,3
191,Comoros,United Kingdom,12214,12403,5
192,Costa Rica,Colombia,12218,12213,44
193,Costa Rica,Guatemala,12218,12255,164
194,Costa Rica,Honduras,12218,12261,109
195,Costa Rica,Mexico,12218,12305,11
196,Costa Rica,Nicaragua,12218,12323,65
197,Costa Rica,Panama,12218,12336,377
198,Costa Rica,United States,12218,12404,993
199,Ivory Coast,Benin,12219,12188,0
200,Ivory Coast,France,12219,12240,436
201,Ivory Coast,Ghana,12219,12248,16
202,Ivory Coast,Guinea,12219,12257,33
203,Ivory Coast,Liberia,12219,12287,11
204,Ivory Coast,Nigeria,12219,12325,46
205,Ivory Coast,Portugal,12219,12343,22
206,Ivory Coast,Senegal,12219,12356,5
207,Ivory Coast,Sierra Leone,12219,12359,5
208,Ivory Coast,South Africa,12219,12365,11
209,Ivory Coast,United Kingdom,12219,12403,389
210,Croatia,Bulgaria,12220,12199,131
211,Croatia,Germany,12220,12247,1726
212,Croatia,Lithuania,12220,12290,11
213,Cuba,Canada,12221,12204,0
214,Cuba,Colombia,12221,12213,2
215,Cuba,Jamaica,12221,12273,3
216,Cuba,Panama,12221,12336,4
217,Cuba,United States,12221,12404,3
218,Cuba,Venezuela,12221,12409,3
219,Cyprus,Bulgaria,12223,12199,11
220,Cyprus,France,12223,12240,567
221,Cyprus,Germany,12223,12247,328
222,Cyprus,Greece,12223,12250,110
223,Cyprus,Israel,12223,12271,2
224,Cyprus,Italy,12223,12272,109
225,Cyprus,Netherlands,12223,12319,33
226,Cyprus,Russia,12223,12348,11
227,Cyprus,South Africa,12223,12365,11
228,Cyprus,Syria,12223,12382,55
229,Cyprus,United Arab Emirates,12223,12402,11
230,Cyprus,United Kingdom,12223,12403,87
231,Denmark,Finland,12225,12239,840
232,Denmark,Germany,12225,12247,80743
233,Denmark,Iceland,12225,12264,119
234,Denmark,Ireland,12225,12269,20000
235,Denmark,Netherlands,12225,12319,56065
236,Denmark,Norway,12225,12331,4802
237,Denmark,Singapore,12225,12360,10
238,Denmark,Sweden,12225,12380,81709
239,Denmark,United Kingdom,12225,12403,328
240,Denmark,United States,12225,12404,103978
241,Djibouti,China,12226,12210,3
242,Djibouti,Comoros,12226,12214,1
243,Djibouti,France,12226,12240,902
244,Djibouti,Greece,12226,12250,7
245,Djibouti,Italy,12226,12272,22
246,Djibouti,Kenya,12226,12278,387
247,Djibouti,Mauritius,12226,12303,16
248,Djibouti,Mozambique,12226,12313,13
249,Djibouti,Oman,12226,12332,76
250,Djibouti,Qatar,12226,12345,0
251,Djibouti,Saudi Arabia,12226,12355,15
252,Djibouti,Singapore,12226,12360,47
253,Djibouti,Somalia,12226,12364,208
254,Djibouti,South Africa,12226,12365,11
255,Djibouti,Tanzania,12226,12385,58
256,Djibouti,United Arab Emirates,12226,12402,45
257,Djibouti,United Kingdom,12226,12403,33
258,Djibouti,Yemen,12226,12413,16
259,Dominican Republic,Haiti,12228,12260,11
260,Dominican Republic,Trinidad and Tobago,12228,12392,1
261,Dominican Republic,United States,12228,12404,1757
262,Ecuador,Colombia,12229,12213,1862
263,Ecuador,Panama,12229,12336,287
264,Ecuador,Peru,12229,12339,535
265,Ecuador,United States,12229,12404,2522
266,Egypt,France,12230,12240,8710
267,Egypt,Germany,12230,12247,33
268,Egypt,Greece,12230,12250,2
269,Egypt,Italy,12230,12272,2705
270,Egypt,Netherlands,12230,12319,12
271,Egypt,Singapore,12230,12360,2
272,Egypt,Sudan,12230,12376,22
273,Egypt,United Arab Emirates,12230,12402,0
274,Egypt,United Kingdom,12230,12403,819
275,Equatorial Guinea,Canada,12232,12204,1
276,Equatorial Guinea,France,12232,12240,11
277,Equatorial Guinea,Ghana,12232,12248,0
278,Equatorial Guinea,Portugal,12232,12343,31
279,Equatorial Guinea,South Africa,12232,12365,11
280,Equatorial Guinea,United Kingdom,12232,12403,1
281,Equatorial Guinea,United States,12232,12404,11
282,Estonia,Finland,12234,12239,1478
283,Estonia,Germany,12234,12247,40
284,Estonia,Latvia,12234,12284,564
285,Estonia,Lithuania,12234,12290,87
286,Estonia,Russia,12234,12348,98
287,Estonia,Sweden,12234,12380,960
288,Fiji,Australia,12238,12178,165
289,Fiji,New Zealand,12238,12322,12
290,Fiji,Samoa,12238,12352,7
291,Fiji,United States,12238,12404,116
292,Finland,Belgium,12239,12186,55400
293,Finland,Denmark,12239,12225,840
294,Finland,Estonia,12239,12234,1478
295,Finland,Germany,12239,12247,4601
296,Finland,Latvia,12239,12284,764
297,Finland,Netherlands,12239,12319,29418
298,Finland,Norway,12239,12331,11
